Nombre del vehículo,Velocidad máxima,Tiempo de 0 a 100 km/h,Rango,Velocidad de carga rápida,Batería utilizable
Model 3,201 km/h,6.1 sec,415 km,690 km/h,57.5
Model 3 Long Range Dual Motor,201 km/h,4.4 sec,500 km,770 km/h,75
ATTO 3,160 km/h,7.3 sec,330 km,370 km/h,60.5
Model Y Long Range Dual Motor,217 km/h,5.0 sec,435 km,670 km/h,75
Model Y,217 km/h,6.9 sec,350 km,580 km/h,57.5
MG4 Electric 64 kWh,160 km/h,7.9 sec,360 km,630 km/h,61.7
SEAL 82.5 kWh AWD Excellence,180 km/h,3.8 sec,490 km,540 km/h,82.5
i4 eDrive40,190 km/h,5.7 sec,515 km,800 km/h,80.7
DOLPHIN 60.4 kWh,160 km/h,7.0 sec,340 km,340 km/h,60.5
iX xDrive40,200 km/h,6.1 sec,360 km,480 km/h,71
ID.4 Pro,180 km/h,6.7 sec,435 km,650 km/h,77
e-C3,135 km/h,11.0 sec,265 km,340 km/h,44
HAN,180 km/h,3.9 sec,475 km,450 km/h,85.4
EX30 Single Motor ER,180 km/h,5.3 sec,365 km,610 km/h,64
Model Y Performance,250 km/h,3.7 sec,415 km,640 km/h,75
Niro EV,167 km/h,7.8 sec,385 km,390 km/h,64.8
Kona Electric 65 kWh,170 km/h,7.8 sec,390 km,400 km/h,65.4
SEAL 82.5 kWh RWD Design,180 km/h,5.9 sec,500 km,550 km/h,82.5
Model S Plaid,282 km/h,2.3 sec,560 km,780 km/h,95
Spectre,250 km/h,4.5 sec,465 km,540 km/h,102
Spring Electric 45,125 km/h,19.1 sec,165 km,180 km/h,25
iX3,180 km/h,6.8 sec,385 km,520 km/h,74
Model S Dual Motor,250 km/h,3.2 sec,575 km,800 km/h,95
TANG,180 km/h,4.6 sec,355 km,420 km/h,86.4
e:Ny1,160 km/h,7.6 sec,335 km,300 km/h,61.9
E-HS9 99 kWh,200 km/h,4.9 sec,370 km,430 km/h,90
Scenic E-Tech EV87 220hp,170 km/h,7.9 sec,490 km,510 km/h,87
iX1 xDrive30,180 km/h,5.6 sec,380 km,510 km/h,64.7
500e Hatchback 42 kWh,150 km/h,9.0 sec,235 km,390 km/h,37.3
Q6 e-tron quattro,210 km/h,5.9 sec,460 km,920 km/h,94.9
Enyaq 85,180 km/h,6.7 sec,450 km,670 km/h,77
EV6 Long Range 2WD,185 km/h,7.3 sec,410 km,1070 km/h,74
SEAL U 71.8 kWh Comfort,175 km/h,9.3 sec,340 km,320 km/h,71.8
ZS EV Long Range,175 km/h,8.4 sec,370 km,420 km/h,68.3
i4 eDrive35,190 km/h,6.0 sec,430 km,580 km/h,67
Megane E-Tech EV60 220hp,160 km/h,7.4 sec,380 km,530 km/h,60
i4 M50,225 km/h,3.9 sec,450 km,700 km/h,80.7
Ocean Extreme,205 km/h,3.9 sec,520 km,620 km/h,106.5
Model Y,217 km/h,6.9 sec,350 km,810 km/h,57.5
EV9 99.8 kWh AWD,200 km/h,6.0 sec,435 km,830 km/h,96
Born 150 kW - 58 kWh,160 km/h,7.3 sec,350 km,470 km/h,58
bZ4X FWD,160 km/h,7.5 sec,340 km,510 km/h,64
Air Grand Touring,270 km/h,3.0 sec,665 km,840 km/h,112
ID.7 Pro,180 km/h,6.5 sec,475 km,730 km/h,77
i7 xDrive60,240 km/h,4.7 sec,510 km,760 km/h,101.7
Leaf,144 km/h,7.9 sec,235 km,230 km/h,39
IONIQ 5 Long Range 2WD,185 km/h,7.3 sec,390 km,1020 km/h,74
MG4 Electric 51 kWh,160 km/h,7.7 sec,300 km,380 km/h,50.8
IONIQ 6 Long Range 2WD,185 km/h,7.4 sec,495 km,1290 km/h,74
5 E-Tech 52kWh 150hp,150 km/h,7.5 sec,330 km,420 km/h,52
EQB 250+,160 km/h,8.9 sec,415 km,560 km/h,70.5
001 Performance AWD,200 km/h,3.8 sec,500 km,670 km/h,94
ID.3 Pro,160 km/h,7.3 sec,350 km,450 km/h,58
Zoe ZE50 R110,135 km/h,11.4 sec,315 km,230 km/h,52
iX1 eDrive20,170 km/h,8.3 sec,390 km,520 km/h,64.7
Macan 4 Electric,220 km/h,5.2 sec,485 km,970 km/h,95
EV6 GT,260 km/h,3.5 sec,360 km,940 km/h,74
iX xDrive50,200 km/h,4.6 sec,505 km,680 km/h,105.2
001 Long Range RWD,200 km/h,7.2 sec,525 km,710 km/h,94
Born 170 kW - 77 kWh,160 km/h,7.0 sec,450 km,630 km/h,77
Explorer Extended Range RWD,180 km/h,6.4 sec,430 km,640 km/h,77
ID. Buzz Pro,145 km/h,10.2 sec,345 km,480 km/h,77
EX30 Single Motor,180 km/h,5.7 sec,280 km,430 km/h,49
IONIQ 6 Long Range AWD,185 km/h,5.1 sec,440 km,1150 km/h,74
Q8 e-tron 55 quattro,200 km/h,5.6 sec,505 km,640 km/h,106
IONIQ 5 N,260 km/h,3.4 sec,385 km,950 km/h,80
Astra Electric,170 km/h,9.2 sec,320 km,510 km/h,50.8
EQS 450+,210 km/h,6.1 sec,635 km,950 km/h,108.4
i5 eDrive40 Sedan,193 km/h,6.0 sec,470 km,750 km/h,81.2
Ariya 87kWh,160 km/h,7.6 sec,450 km,540 km/h,87
2 Long Range Single Motor,205 km/h,6.2 sec,470 km,700 km/h,79
e-3008 73 kWh,170 km/h,8.7 sec,385 km,440 km/h,73
ID.7 Pro S,180 km/h,7.0 sec,520 km,800 km/h,86
Q4 e-tron 45,180 km/h,6.7 sec,420 km,630 km/h,77
EQA 250,160 km/h,8.6 sec,395 km,570 km/h,66.5
IONIQ 5 Long Range AWD,185 km/h,5.1 sec,385 km,1010 km/h,74
Explorer Extended Range AWD,180 km/h,5.3 sec,430 km,690 km/h,79
EV6 Long Range AWD,185 km/h,5.2 sec,400 km,1050 km/h,74
e-C4,150 km/h,9.7 sec,290 km,460 km/h,46.3
Avenger Electric,150 km/h,9.0 sec,310 km,500 km/h,50.8
MX-30,140 km/h,9.7 sec,170 km,170 km/h,30
Ocean Ultra,200 km/h,4.2 sec,535 km,640 km/h,106.5
EX30 Twin Motor Performance,180 km/h,3.6 sec,360 km,600 km/h,64
e-3008 98 kWh Long Range,170 km/h,8.9 sec,510 km,660 km/h,98
EV9 99.8 kWh AWD GT-Line,200 km/h,5.3 sec,425 km,810 km/h,96
#1 Pro+,180 km/h,6.7 sec,335 km,520 km/h,62
ET5 100 kWh,200 km/h,4.0 sec,500 km,520 km/h,90
#1 Brabus,180 km/h,3.9 sec,325 km,500 km/h,62
ET7 75 kWh,200 km/h,3.8 sec,400 km,600 km/h,70.5
Eletre,250 km/h,4.5 sec,495 km,1040 km/h,109
X Privilege AWD,180 km/h,3.8 sec,345 km,580 km/h,64
Solterra AWD,160 km/h,6.9 sec,320 km,480 km/h,64
Countryman E,170 km/h,8.6 sec,380 km,510 km/h,64.7
MG4 Electric 77 kWh,180 km/h,6.5 sec,425 km,430 km/h,74.4
Model X Dual Motor,250 km/h,3.9 sec,475 km,660 km/h,95
iX2 xDrive30,180 km/h,5.6 sec,380 km,510 km/h,64.7
IONIQ 5 Standard Range 2WD,185 km/h,8.5 sec,295 km,720 km/h,54
MG5 Electric Long Range,185 km/h,7.7 sec,335 km,330 km/h,57.4
IONIQ 6 Standard Range 2WD,185 km/h,8.8 sec,365 km,900 km/h,54
Enyaq Coupe 85,180 km/h,6.7 sec,480 km,720 km/h,77
DOLPHIN 44.9 kWh Active,150 km/h,10.0 sec,255 km,260 km/h,44.9
Twingo Electric,135 km/h,12.6 sec,135 km,-,21.3
RZ 450e,160 km/h,5.6 sec,320 km,480 km/h,64
ID.7 Tourer GTX,180 km/h,6.0 sec,480 km,770 km/h,86
EQA 250+,160 km/h,8.6 sec,420 km,500 km/h,70.5
SEAL U 87 kWh Design,175 km/h,9.6 sec,405 km,370 km/h,87
EX40 Single Motor ER,180 km/h,7.3 sec,400 km,600 km/h,79
2 Standard Range Single Motor,205 km/h,6.4 sec,405 km,480 km/h,67
ID. Buzz GTX,160 km/h,6.5 sec,335 km,520 km/h,79
EV9 99.8 kWh RWD,185 km/h,9.4 sec,450 km,850 km/h,96
MG4 Electric XPOWER,200 km/h,3.8 sec,320 km,560 km/h,61.7
Enyaq 60,160 km/h,8.7 sec,335 km,450 km/h,58
Mokka-e 50 kWh,150 km/h,9.2 sec,260 km,420 km/h,46.3
4 Long Range Dual Motor,200 km/h,3.8 sec,465 km,630 km/h,94
Macan Turbo Electric,260 km/h,3.3 sec,480 km,960 km/h,95
Zoe ZE50 R135,140 km/h,9.5 sec,310 km,230 km/h,52
Ypsilon,150 km/h,8.5 sec,305 km,470 km/h,48.1
ID.7 Tourer Pro,180 km/h,6.6 sec,460 km,710 km/h,77
MIFA 9,180 km/h,9.2 sec,365 km,420 km/h,84
Model X Plaid,262 km/h,2.8 sec,455 km,630 km/h,95
EQE 350+,210 km/h,6.4 sec,530 km,790 km/h,90.6
bZ4X AWD,160 km/h,6.9 sec,315 km,470 km/h,64
Q8 e-tron Sportback 55 quattro,200 km/h,5.6 sec,525 km,660 km/h,106
i5 M60 xDrive Sedan,230 km/h,3.8 sec,420 km,670 km/h,81.2
Mustang Mach-E ER RWD,180 km/h,7.0 sec,480 km,420 km/h,91
