LocationID,borough,zone,longitud,latitud
1,EWR,Newark Airport,-74.17400027276305,40.691831206401545
2,Queens,Jamaica Bay,-73.83129854302207,40.616745291659825
3,Bronx,Allerton/Pelham Gardens,-73.84742223236715,40.864473684775454
4,Manhattan,Alphabet City,-73.97696825691766,40.7237521415848
5,Staten Island,Arden Heights,-74.18848410184923,40.552659286945634
6,Staten Island,Arrochar/Fort Wadsworth,-74.0717705589513,40.60032414603461
7,Queens,Astoria,-73.9196943194606,40.76149256216373
8,Queens,Astoria Park,-73.92308615750753,40.77855865375073
9,Queens,Auburndale,-73.7879488777789,40.75103502557229
10,Queens,Baisley Park,-73.79098635986959,40.678953310115254
11,Brooklyn,Bath Beach,-74.00748815801177,40.604272840030774
12,Manhattan,Battery Park,-74.01556351255897,40.7029458349847
13,Manhattan,Battery Park City,-74.01607915192926,40.71203815707448
14,Brooklyn,Bay Ridge,-74.02989237418788,40.624834923608205
15,Queens,Bay Terrace/Fort Totten,-73.78597227877705,40.78333304726096
16,Queens,Bayside,-73.77342181890134,40.76273837544242
17,Brooklyn,Bedford,-73.94990503507508,40.69150749488065
18,Bronx,Bedford Park,-73.89018328872034,40.867682456075414
19,Queens,Bellerose,-73.72665537528711,40.735486779763384
20,Bronx,Belmont,-73.88586748106962,40.857779675441584
21,Brooklyn,Bensonhurst East,-73.98353709672233,40.601429439835165
22,Brooklyn,Bensonhurst West,-73.99525857986231,40.612218257805615
23,Staten Island,Bloomfield/Emerson Hill,-74.17088688155255,40.60644770102755
24,Manhattan,Bloomingdale,-73.96547951516968,40.80197049389964
25,Brooklyn,Boerum Hill,-73.98611382213663,40.685633741320636
26,Brooklyn,Borough Park,-73.98866123078288,40.63094965524548
27,Queens,Breezy Point/Fort Tilden/Riis Beach,-73.90690832237597,40.55913327946765
28,Queens,Briarwood/Jamaica Hills,-73.80872901637518,40.71159635794509
29,Brooklyn,Brighton Beach,-73.96121676866852,40.580921971933805
30,Queens,Broad Channel,-73.82192695679416,40.60368744213567
31,Bronx,Bronx Park,-73.87547595053037,40.8577466809159
32,Bronx,Bronxdale,-73.8649009987672,40.86400220602363
33,Brooklyn,Brooklyn Heights,-73.99525011996623,40.69579822121126
34,Brooklyn,Brooklyn Navy Yard,-73.97118869233036,40.70085573851714
35,Brooklyn,Brownsville,-73.91025783136135,40.664003117925986
36,Brooklyn,Bushwick North,-73.91771053131579,40.700522199519206
37,Brooklyn,Bushwick South,-73.92224002165725,40.69499431844212
38,Queens,Cambria Heights,-73.73555427058822,40.69434146723171
39,Brooklyn,Canarsie,-73.8997349566939,40.63803713911706
40,Brooklyn,Carroll Gardens,-73.99595619089148,40.679199014097094
41,Manhattan,Central Harlem,-73.95129200243511,40.80433394979461
42,Manhattan,Central Harlem North,-73.94077166756264,40.818257861119235
43,Manhattan,Central Park,-73.96555356545916,40.78247809974789
44,Staten Island,Charleston/Tottenville,-74.23353354937652,40.525494581763816
45,Manhattan,Chinatown,-73.99815149899047,40.71245931177948
46,Bronx,City Island,-73.78198714613217,40.84908594313967
47,Bronx,Claremont/Bathgate,-73.90031590586486,40.842749176098025
48,Manhattan,Clinton East,-73.98984464313301,40.762252755319366
