Nombre del vehículo,Velocidad Máxima (Km/h),Aceleración 0 a 100 Km/h (seg),Rango (Km),Carga rápida (Km/h),Europa (€)
Tesla Model 3,201.0,6.1,415.0,690.0,42651.0
Tesla Model 3 Long Range Dual Motor,201.0,4.4,500.0,770.0,51651.0
BYD ATTO 3,160.0,7.3,330.0,370.0,38058.333333333336
Tesla Model Y Long Range Dual Motor,217.0,5.0,435.0,670.0,52483.333333333336
Tesla Model Y,217.0,6.9,350.0,580.0,44983.333333333336
MG MG4 Electric 64 kWh,160.0,7.9,360.0,630.0,35090.0
BYD SEAL 82.5 kWh AWD Excellence,180.0,3.8,490.0,540.0,50225.0
BMW i4 eDrive40,190.0,5.7,515.0,800.0,60027.333333333336
BYD DOLPHIN 60.4 kWh,160.0,7.0,340.0,340.0,32891.666666666664
BMW iX xDrive40,200.0,6.1,360.0,480.0,77401.0
Volkswagen ID.4 Pro,180.0,6.7,435.0,650.0,47453.333333333336
Citroen e-C3,135.0,11.0,265.0,340.0,22863.333333333332
BYD HAN,180.0,3.9,475.0,450.0,69505.0
Volvo EX30 Single Motor ER,180.0,5.3,365.0,610.0,40610.0
Tesla Model Y Performance,250.0,3.7,415.0,640.0,58816.666666666664
Kia Niro EV,167.0,7.8,385.0,390.0,40993.333333333336
Hyundai Kona Electric 65 kWh,170.0,7.8,390.0,400.0,43260.0
BYD SEAL 82.5 kWh RWD Design,180.0,5.9,500.0,550.0,45558.333333333336
Tesla Model S Plaid,282.0,2.3,560.0,780.0,107321.0
Rolls-Royce Spectre,250.0,4.5,465.0,540.0,368430.0
Dacia Spring Electric 45,125.0,19.1,165.0,180.0,22550.0
BMW iX3,180.0,6.8,385.0,520.0,67642.33333333333
Tesla Model S Dual Motor,250.0,3.2,575.0,800.0,92321.0
BYD TANG,180.0,4.6,355.0,420.0,70695.0
Honda e:Ny1,160.0,7.6,335.0,300.0,47111.666666666664
Hongqi E-HS9 99 kWh,200.0,4.9,370.0,430.0,79995.0
Renault Scenic E-Tech EV87 220hp,170.0,7.9,490.0,510.0,45955.0
BMW iX1 xDrive30,180.0,5.6,380.0,510.0,53438.333333333336
Fiat 500e Hatchback 42 kWh,150.0,9.0,235.0,390.0,33558.333333333336
Audi Q6 e-tron quattro,210.0,5.9,460.0,920.0,74558.33333333333
Skoda Enyaq 85,180.0,6.7,450.0,670.0,47810.0
BYD SEAL U 71.8 kWh Comfort,175.0,9.3,340.0,320.0,42990.0
Kia EV6 Long Range 2WD,185.0,7.3,410.0,1070.0,49410.0
MG ZS EV Long Range,175.0,8.4,370.0,420.0,37056.666666666664
BMW i4 eDrive35,190.0,6.0,430.0,580.0,55285.666666666664
Renault Megane E-Tech EV60 220hp,160.0,7.4,380.0,530.0,40988.333333333336
