combinacion,nro_pasos,nro_capas_lstm,unidades_capa,nro_capas_dense,unidades_dense,loss_function,act_salida,act_lstm,act_dense,loss_value(mse),cv_scores_mean,tiempo(s)
1,1,2,"50, 40",2,"30, 20",mse,linear,relu,linear,0.02217155508697033,0.018380622815050367,26.50458312034607
2,1,2,"50, 40",2,"30, 20",mse,linear,relu,sigmoid,0.017717821523547173,0.018379201158485105,25.16245126724243
3,1,2,"50, 40",2,"30, 20",mse,linear,relu,linear,0.02432304434478283,0.017090919230286588,25.45779538154602
4,1,2,"50, 40",2,"30, 20",mse,linear,relu,sigmoid,0.017932265996932983,0.018927847282125744,24.814748764038086
5,1,2,"50, 40",2,"30, 20",mse,linear,relu,linear,0.021755993366241455,0.014923277459028952,26.708391427993774
6,1,2,"50, 40",2,"30, 20",mse,linear,relu,sigmoid,0.014516442082822323,0.01531115050332392,28.1296865940094
7,1,2,"50, 40",2,"30, 20",mse,linear,sigmoid,linear,0.023025967180728912,0.025486587079437416,24.553665161132812
8,1,2,"50, 40",2,"30, 20",mse,linear,sigmoid,sigmoid,0.02240578457713127,0.024221141368457443,24.324836492538452
9,1,2,"50, 40",2,"30, 20",mse,linear,sigmoid,linear,0.02291307970881462,0.02484789850525678,26.312552213668823
10,1,2,"50, 40",2,"30, 20",mse,linear,sigmoid,sigmoid,0.024855248630046844,0.026027420626139608,25.137367725372314
11,1,2,"50, 40",2,"30, 20",mse,linear,sigmoid,linear,0.020428389310836792,0.025641184716504683,26.011731386184692
12,1,2,"50, 40",2,"30, 20",mse,linear,sigmoid,sigmoid,0.018254971131682396,0.028548345026494587,27.711160898208618
13,1,2,"50, 40",2,"30, 20",mse,relu,relu,linear,0.01931620016694069,0.020655142976564407,24.32533049583435
14,1,2,"50, 40",2,"30, 20",mse,relu,relu,sigmoid,0.015851719304919243,0.016752601162429125,25.555495500564575
15,1,2,"50, 40",2,"30, 20",mse,relu,relu,linear,0.020329104736447334,0.020990085302277132,25.849453926086426
16,1,2,"50, 40",2,"30, 20",mse,relu,relu,sigmoid,0.044497277587652206,0.06209264658008022,25.36220645904541
17,1,2,"50, 40",2,"30, 20",mse,relu,relu,linear,0.019726406782865524,0.015885948119908053,28.30801796913147
18,1,2,"50, 40",2,"30, 20",mse,relu,relu,sigmoid,0.014559969305992126,0.05550942307269948,28.099453926086426
19,1,2,"50, 40",2,"30, 20",mse,relu,sigmoid,linear,0.0771191194653511,0.07578644762022532,25.09382200241089
20,1,2,"50, 40",2,"30, 20",mse,relu,sigmoid,sigmoid,0.02596050687134266,0.08054194322869515,24.59691858291626
21,1,2,"50, 40",2,"30, 20",mse,relu,sigmoid,linear,0.05150727927684784,0.06325033243779367,25.441064834594727
22,1,2,"50, 40",2,"30, 20",mse,relu,sigmoid,sigmoid,0.0551513247191906,0.058853734652184596,27.056278228759766
23,1,2,"50, 40",2,"30, 20",mse,relu,sigmoid,linear,0.01993379555642605,0.03980256944238583,26.355641841888428
24,1,2,"50, 40",2,"30, 20",mse,relu,sigmoid,sigmoid,0.05431704595685005,0.04728465051713328,26.92081880569458
25,1,2,"50, 40",2,"30, 20",mae,linear,relu,linear,0.01604316011071205,0.017601582624792042,25.096314191818237
26,1,2,"50, 40",2,"30, 20",mae,linear,relu,sigmoid,0.017173971980810165,0.01791941010381708,27.037431240081787
27,1,2,"50, 40",2,"30, 20",mae,linear,relu,linear,0.01408967562019825,0.016694221226894325,26.62710475921631
28,1,2,"50, 40",2,"30, 20",mae,linear,relu,sigmoid,0.015071132220327854,0.017822144432511844,28.30492401123047
29,1,2,"50, 40",2,"30, 20",mae,linear,relu,linear,0.01870221644639969,0.017611573012256722,27.30796480178833
30,1,2,"50, 40",2,"30, 20",mae,linear,relu,sigmoid,0.01595991477370262,0.015169422313769354,27.677464962005615
31,1,2,"50, 40",2,"30, 20",mae,linear,sigmoid,linear,0.02372601255774498,0.02488006067709067,24.605180740356445
32,1,2,"50, 40",2,"30, 20",mae,linear,sigmoid,sigmoid,0.02248261123895645,0.023991506121262093,27.33414363861084
33,1,2,"50, 40",2,"30, 20",mae,linear,sigmoid,linear,0.02485745958983898,0.02412399715875546,25.89373779296875
34,1,2,"50, 40",2,"30, 20",mae,linear,sigmoid,sigmoid,0.020970072597265244,0.02565174237508986,25.408529043197632
35,1,2,"50, 40",2,"30, 20",mae,linear,sigmoid,linear,0.024200638756155968,0.024386218638969115,27.734410762786865
36,1,2,"50, 40",2,"30, 20",mae,linear,sigmoid,sigmoid,0.01954963058233261,0.03015118494882475,27.477458477020264
37,1,2,"50, 40",2,"30, 20",mae,relu,relu,linear,0.02056596614420414,0.020347650661401612,25.38407874107361
38,1,2,"50, 40",2,"30, 20",mae,relu,relu,sigmoid,0.018318282440304756,0.02914979458665586,29.4894540309906
39,1,2,"50, 40",2,"30, 20",mae,relu,relu,linear,0.017693398520350456,0.017166074430157836,26.838412523269653
40,1,2,"50, 40",2,"30, 20",mae,relu,relu,sigmoid,0.07817747443914413,0.046041603362219546,26.261788845062256
41,1,2,"50, 40",2,"30, 20",mae,relu,relu,linear,0.016695912927389145,0.03483093844028555,26.74467897415161
42,1,2,"50, 40",2,"30, 20",mae,relu,relu,sigmoid,0.04624103009700775,0.06795644317222774,29.87581205368042
43,1,2,"50, 40",2,"30, 20",mae,relu,sigmoid,linear,0.04249948635697365,0.050805061088323236,26.12081217765808
44,1,2,"50, 40",2,"30, 20",mae,relu,sigmoid,sigmoid,0.07038627564907074,0.0506585573696682,25.491352081298828
45,1,2,"50, 40",2,"30, 20",mae,relu,sigmoid,linear,0.026253454387187958,0.07890478533470657,26.959637880325317
46,1,2,"50, 40",2,"30, 20",mae,relu,sigmoid,sigmoid,0.0451074056327343,0.0660689432478369,33.269246339797974
47,1,2,"50, 40",2,"30, 20",mae,relu,sigmoid,linear,0.021898802369832993,0.0486602341314442,28.005096912384033
48,1,2,"50, 40",2,"30, 20",mae,relu,sigmoid,sigmoid,0.06111011281609535,0.057627753179115594,28.269585132598877
49,2,2,"50, 40",2,"30, 20",mse,linear,relu,linear,0.02143855206668377,0.018067779528452496,29.20995306968689
50,2,2,"50, 40",2,"30, 20",mse,linear,relu,sigmoid,0.017883233726024628,0.016114347485924618,27.981670141220093
51,2,2,"50, 40",2,"30, 20",mse,linear,relu,linear,0.019233068451285362,0.016918554278307883,31.13293957710266
52,2,2,"50, 40",2,"30, 20",mse,linear,relu,sigmoid,0.01757819391787052,0.013839370221793889,32.26313638687134
